beat,start,end,duration,frames,words,wps,transition,label,visual,audio
1,0.0,3.62,3.62,217,14,3.87,revealing,THE ENZYME,"A whole pineapple with a jagged enzyme shape floating above it, molecular dots drifting",audio/beat01.mp3
2,3.62,7.0,3.38,203,13,3.85,switching,NOT ACID,"A chili and a lemon both crossed out beside a pineapple, red X marks",audio/beat02.mp3
3,7.0,10.36,3.36,202,13,3.87,cut,YOU ARE PROTEIN,A mouth diagram with tongue and cheeks highlighted in bold protein dots,audio/beat03.mp3
4,10.36,13.74,3.38,203,13,3.85,cut,BREAKING YOU DOWN,An enzyme shape snipping tiny links off a pink tongue surface,audio/beat04.mp3
5,13.74,17.6,3.86,232,15,3.89,cut,NOT WHAT YOU THINK,A tongue with spark marks and a big X over a lemon acid bottle,audio/beat05.mp3
6,17.6,21.22,3.62,217,14,3.87,cut,THE CANNED LIE,"A sad canned pineapple ring, its glowing core gone, empty middle",audio/beat06.mp3
7,21.22,24.34,3.12,187,12,3.85,switching,NOT A SNACK,"A pineapple cocktail with umbrella crossed out, an enzyme shape beside it",audio/beat07.mp3
8,24.34,27.96,3.62,217,14,3.87,cut,IN YOUR KITCHEN,A fruit bowl with a pineapple glowing menacingly at the front,audio/beat08.mp3
9,27.96,31.3,3.34,200,13,3.89,cut,LAST TIME,"A hand holding a fresh pineapple slice outdoors, picnic blanket behind",audio/beat09.mp3
10,31.3,34.4,3.1,186,12,3.87,cut,SWEET AND JUICY,A pineapple slice dripping juice with sun rays and a satisfied face,audio/beat10.mp3
11,34.4,38.02,3.62,217,14,3.87,cut,ONE MINUTE IN,A clock at one minute beside an open mouth with question marks,audio/beat11.mp3
12,38.02,41.14,3.12,187,12,3.85,cut,THE TINGLE,A tongue covered in tiny sparks with a rough sandpaper texture patch,audio/beat12.mp3
13,41.14,44.5,3.36,202,13,3.87,cut,YOU BLAMED ACID,A lemon squeezing onto a tongue with an arrow labelled acid,audio/beat13.mp3
14,44.5,47.6,3.1,186,12,3.87,cut,OR AN ALLERGY,A person scratching their arm with an allergy warning sign above,audio/beat14.mp3
15,47.6,50.98,3.38,203,13,3.85,revealing,NOBODY TOLD YOU,A fruit stand with a hidden curtain and a secret glowing behind it,audio/beat15.mp3
16,50.98,54.34,3.36,202,13,3.87,cut,BROMELAIN,A bromelain enzyme shape cutting into a tongue with tiny scissors,audio/beat16.mp3
